scenario,ratio,diff,human_correct,model_correct,Model,Readout Train Data,Readout Type,Encoder Type,Dynamics Type,Encoder Pre-training Task,Encoder Pre-training Dataset,Encoder Pre-training Seed,Encoder Training Task,Encoder Training Dataset,Encoder Training Seed,Dynamics Training Task,Dynamics Training Dataset,Dynamics Training Seed,ModelID,Model Kind,Visual encoder architecture,Dynamics model architecture,ObjectCentric,Supervised,SelfSupervisedLossSelfSupervisedLoss,Encoder Training Dataset Type,Dynamics Training Dataset Type,Readout Train Data Type
collision,0.7987938596491226,-0.16267730496453914,0.8085106382978725,0.6458333333333334,VGGFrozenMLP,collision,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,collision,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_collision_readout_C_collision_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,same,same
collision,0.8967105263157893,-0.08351063829787253,0.8085106382978725,0.725,VGGFrozenMLP,collision,A,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_collision,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_collision_readout_A_collision_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
collision,0.731798245614035,-0.21684397163120583,0.8085106382978725,0.5916666666666667,VGGFrozenMLP,collision,B,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_collision,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_collision_readout_B_collision_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
collision,0.7421052631578946,-0.20851063829787253,0.8085106382978725,0.6,VGGFrozenMLP,collision,C,VGG,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_collision,0,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_no_collision_readout_C_collision_VGGFrozenMLP_results.csv,VGGFrozenMLP_VGG_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,False,NA,,all_but_this,same
collision,1.0142105263157892,0.011489361702127443,0.8085106382978725,0.82,pR3M_LSTM,collision,A,R3M,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pR3M_LSTM_R3M_nan_nan_nan_L2 on latent_0_all_readout_A_collision_pR3M_LSTM_results.csv,pR3M_LSTM_R3M_nan_nan_nan_L2 on latent_0_same,Neither,LSTM,,,NA,,all,same
collision,0.7091228070175437,-0.23517730496453915,0.8085106382978725,0.5733333333333334,pR3M_LSTM,collision,B,R3M,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pR3M_LSTM_R3M_nan_nan_nan_L2 on latent_0_all_readout_B_collision_pR3M_LSTM_results.csv,pR3M_LSTM_R3M_nan_nan_nan_L2 on latent_0_same,Neither,LSTM,,,NA,,all,same
collision,0.585438596491228,-0.3351773049645392,0.8085106382978725,0.47333333333333333,pR3M_LSTM,collision,C,R3M,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pR3M_LSTM_R3M_nan_nan_nan_L2 on latent_0_all_readout_C_collision_pR3M_LSTM_results.csv,pR3M_LSTM_R3M_nan_nan_nan_L2 on latent_0_same,Neither,LSTM,,,NA,,all,same
collision,1.0471929824561401,0.03815602836879417,0.8085106382978725,0.8466666666666667,pR3M_MLP,collision,A,R3M,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pR3M_MLP_R3M_nan_nan_nan_L2 on latent_0_all_readout_A_collision_pR3M_MLP_results.csv,pR3M_MLP_R3M_nan_nan_nan_L2 on latent_0_same,Neither,MLP,,,NA,,all,same
collision,0.7421052631578946,-0.20851063829787253,0.8085106382978725,0.6,pR3M_MLP,collision,B,R3M,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pR3M_MLP_R3M_nan_nan_nan_L2 on latent_0_all_readout_B_collision_pR3M_MLP_results.csv,pR3M_MLP_R3M_nan_nan_nan_L2 on latent_0_same,Neither,MLP,,,NA,,all,same
collision,0.7173684210526314,-0.22851063829787255,0.8085106382978725,0.58,pR3M_MLP,collision,C,R3M,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pR3M_MLP_R3M_nan_nan_nan_L2 on latent_0_all_readout_C_collision_pR3M_MLP_results.csv,pR3M_MLP_R3M_nan_nan_nan_L2 on latent_0_same,Neither,MLP,,,NA,,all,same
collision,0.8905263157894735,-0.08851063829787253,0.8085106382978725,0.72,pResNet50_LSTM,collision,A,ResNet50,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pResNet50_LSTM_ResNet50_nan_nan_nan_L2 on latent_0_all_readout_A_collision_pResNet50_LSTM_results.csv,pResNet50_LSTM_ResNet50_nan_nan_nan_L2 on latent_0_same,Neither,LSTM,,,NA,,all,same
collision,0.6678947368421052,-0.2685106382978725,0.8085106382978725,0.54,pResNet50_LSTM,collision,B,ResNet50,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pResNet50_LSTM_ResNet50_nan_nan_nan_L2 on latent_0_all_readout_B_collision_pResNet50_LSTM_results.csv,pResNet50_LSTM_ResNet50_nan_nan_nan_L2 on latent_0_same,Neither,LSTM,,,NA,,all,same
collision,0.643157894736842,-0.2885106382978725,0.8085106382978725,0.52,pResNet50_LSTM,collision,C,ResNet50,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pResNet50_LSTM_ResNet50_nan_nan_nan_L2 on latent_0_all_readout_C_collision_pResNet50_LSTM_results.csv,pResNet50_LSTM_ResNet50_nan_nan_nan_L2 on latent_0_same,Neither,LSTM,,,NA,,all,same
collision,0.8822807017543859,-0.09517730496453913,0.8085106382978725,0.7133333333333334,pResNet50_MLP,collision,A,ResNet50,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pResNet50_MLP_ResNet50_nan_nan_nan_L2 on latent_0_all_readout_A_collision_pResNet50_MLP_results.csv,pResNet50_MLP_ResNet50_nan_nan_nan_L2 on latent_0_same,Neither,MLP,,,NA,,all,same
collision,0.6678947368421052,-0.2685106382978725,0.8085106382978725,0.54,pResNet50_MLP,collision,B,ResNet50,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pResNet50_MLP_ResNet50_nan_nan_nan_L2 on latent_0_all_readout_B_collision_pResNet50_MLP_results.csv,pResNet50_MLP_ResNet50_nan_nan_nan_L2 on latent_0_same,Neither,MLP,,,NA,,all,same
collision,0.7091228070175437,-0.23517730496453915,0.8085106382978725,0.5733333333333334,pResNet50_MLP,collision,C,ResNet50,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,pResNet50_MLP_ResNet50_nan_nan_nan_L2 on latent_0_all_readout_C_collision_pResNet50_MLP_results.csv,pResNet50_MLP_ResNet50_nan_nan_nan_L2 on latent_0_same,Neither,MLP,,,NA,,all,same
containment,0.7822808671065031,-0.16698795180722903,0.766987951807229,0.6,CSWM,containment,A,CSWM encoder,CSWM dynamics,,,,Contrastive,all,0.0,Contrastive,all,0,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_all_readout_A_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_same,Neither,Neither,True,False,NA,all,all,same
containment,0.7186807966100396,-0.215768439612107,0.766987951807229,0.551219512195122,CSWM,containment,B,CSWM encoder,CSWM dynamics,,,,Contrastive,all,0.0,Contrastive,all,0,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_all_readout_B_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_same,Neither,Neither,True,False,NA,all,all,same
containment,0.7504808318582713,-0.19137819570966808,0.766987951807229,0.5756097560975609,CSWM,containment,C,CSWM encoder,CSWM dynamics,,,,Contrastive,all,0.0,Contrastive,all,0,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_all_readout_C_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_Contrastive_0_same,Neither,Neither,True,False,NA,all,all,same
containment,0.8395209305533206,-0.12308551278283875,0.766987951807229,0.6439024390243903,CSWM,containment,A,CSWM encoder,CSWM dynamics,,,,Contrastive,containment,0.0,Contrastive,containment,0,CSWM_CSWM encoder_0.0_Contrastive_containment_Contrastive_0_containment_readout_A_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_same_Contrastive_0_same,Neither,Neither,True,False,NA,same,same,same
containment,0.7504808318582713,-0.19137819570966808,0.766987951807229,0.5756097560975609,CSWM,containment,B,CSWM encoder,CSWM dynamics,,,,Contrastive,containment,0.0,Contrastive,containment,0,CSWM_CSWM encoder_0.0_Contrastive_containment_Contrastive_0_containment_readout_B_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_same_Contrastive_0_same,Neither,Neither,True,False,NA,same,same,same
containment,0.7504808318582713,-0.19137819570966808,0.766987951807229,0.5756097560975609,CSWM,containment,C,CSWM encoder,CSWM dynamics,,,,Contrastive,containment,0.0,Contrastive,containment,0,CSWM_CSWM encoder_0.0_Contrastive_containment_Contrastive_0_containment_readout_C_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_same_Contrastive_0_same,Neither,Neither,True,False,NA,same,same,same
containment,0.6614407331632223,-0.2596708786364973,0.766987951807229,0.5073170731707317,CSWM,containment,A,CSWM encoder,CSWM dynamics,,,,Contrastive,no_containment,0.0,Contrastive,no_containment,0,CSWM_CSWM encoder_0.0_Contrastive_no_containment_Contrastive_0_no_containment_readout_A_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_but_this_Contrastive_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
containment,0.6296406979149903,-0.28406112253893634,0.766987951807229,0.48292682926829267,CSWM,containment,B,CSWM encoder,CSWM dynamics,,,,Contrastive,no_containment,0.0,Contrastive,no_containment,0,CSWM_CSWM encoder_0.0_Contrastive_no_containment_Contrastive_0_no_containment_readout_B_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_but_this_Contrastive_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
containment,0.6487207190639295,-0.2694269761974729,0.766987951807229,0.4975609756097561,CSWM,containment,C,CSWM encoder,CSWM dynamics,,,,Contrastive,no_containment,0.0,Contrastive,no_containment,0,CSWM_CSWM encoder_0.0_Contrastive_no_containment_Contrastive_0_no_containment_readout_C_containment_CSWM_results.csv,CSWM_CSWM encoder_0.0_Contrastive_all_but_this_Contrastive_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
containment,0.9158410151490769,-0.06454892741698515,0.766987951807229,0.7024390243902439,DEITFrozenLSTM,containment,A,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_all_readout_A_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all,same
containment,0.8458809376029669,-0.11820746400235094,0.766987951807229,0.6487804878048781,DEITFrozenLSTM,containment,B,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_all_readout_B_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all,same
containment,0.8458809376029669,-0.11820746400235094,0.766987951807229,0.6487804878048781,DEITFrozenLSTM,containment,C,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_all_readout_C_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all,same
containment,0.9031210010497841,-0.07430502497796077,0.766987951807229,0.6926829268292682,DEITFrozenLSTM,containment,A,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,containment,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_containment_readout_A_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,same,same
containment,0.864960958751906,-0.10357331766088751,0.766987951807229,0.6634146341463415,DEITFrozenLSTM,containment,B,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,containment,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_containment_readout_B_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,same,same
containment,0.8522409446526132,-0.11332941522186313,0.766987951807229,0.6536585365853659,DEITFrozenLSTM,containment,C,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,containment,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_containment_readout_C_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,same,same
containment,0.9158410151490769,-0.06454892741698515,0.766987951807229,0.7024390243902439,DEITFrozenLSTM,containment,A,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,no_containment,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_no_containment_readout_A_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all_but_this,same
containment,0.8586009517022597,-0.10845136644137532,0.766987951807229,0.6585365853658537,DEITFrozenLSTM,containment,B,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,no_containment,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_no_containment_readout_B_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all_but_this,same
containment,0.8458809376029669,-0.11820746400235094,0.766987951807229,0.6487804878048781,DEITFrozenLSTM,containment,C,DEIT,LSTM,ImageNet classification,ImageNet,,,,,L2 on latent,no_containment,0,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_no_containment_readout_C_containment_DEITFrozenLSTM_results.csv,DEITFrozenLSTM_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,LSTM,,,NA,,all_but_this,same
containment,0.9158410151490769,-0.06454892741698515,0.766987951807229,0.7024390243902439,DEITFrozenMLP,containment,A,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_all_readout_A_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all,same
containment,0.8140809023547351,-0.14259770790478998,0.766987951807229,0.624390243902439,DEITFrozenMLP,containment,B,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_all_readout_B_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all,same
containment,0.8458809376029669,-0.11820746400235094,0.766987951807229,0.6487804878048781,DEITFrozenMLP,containment,C,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,all,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_all_readout_C_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all,same
containment,0.9158410151490769,-0.06454892741698515,0.766987951807229,0.7024390243902439,DEITFrozenMLP,containment,A,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,containment,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_containment_readout_A_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,same,same
containment,0.8395209305533206,-0.12308551278283875,0.766987951807229,0.6439024390243903,DEITFrozenMLP,containment,B,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,containment,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_containment_readout_B_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,same,same
containment,0.8458809376029669,-0.11820746400235094,0.766987951807229,0.6487804878048781,DEITFrozenMLP,containment,C,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,containment,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_containment_readout_C_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,same,same
containment,0.9158410151490769,-0.06454892741698515,0.766987951807229,0.7024390243902439,DEITFrozenMLP,containment,A,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_containment,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_no_containment_readout_A_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all_but_this,same
containment,0.8586009517022597,-0.10845136644137532,0.766987951807229,0.6585365853658537,DEITFrozenMLP,containment,B,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_containment,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_no_containment_readout_B_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all_but_this,same
containment,0.8458809376029669,-0.11820746400235094,0.766987951807229,0.6487804878048781,DEITFrozenMLP,containment,C,DEIT,MLP,ImageNet classification,ImageNet,,,,,L2 on latent,no_containment,0,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_no_containment_readout_C_containment_DEITFrozenMLP_results.csv,DEITFrozenMLP_DEIT_nan_nan_nan_L2 on latent_0_same,Transformer,MLP,,,NA,,all_but_this,same
containment,0.934921036298016,-0.04991478107552172,0.766987951807229,0.7170731707317073,DPI,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,all,1,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_all_readout_B_containment_DPI_results.csv,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,True,True,NA,,all,same
containment,0.9094810080994304,-0.06942697619747296,0.766987951807229,0.697560975609756,DPI,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,containment,1,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_containment_readout_B_containment_DPI_results.csv,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,True,True,NA,,same,same
containment,0.934921036298016,-0.04991478107552172,0.766987951807229,0.7170731707317073,DPI,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,no_containment,1,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_no_containment_readout_B_containment_DPI_results.csv,DPI_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,True,True,NA,,all_but_this,same
containment,0.9995811079694208,-0.0003212851405622885,0.766987951807229,0.7666666666666667,FitVid,containment,A,NVAE encoder,LSTM,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_A_containment_FitVid_results.csv,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,,,NA,all,all,same
containment,0.877892973086187,-0.09365461847389567,0.766987951807229,0.6733333333333333,FitVid,containment,B,NVAE encoder,LSTM,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_B_containment_FitVid_results.csv,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,,,NA,all,all,same
containment,0.877892973086187,-0.09365461847389567,0.766987951807229,0.6733333333333333,FitVid,containment,C,NVAE encoder,LSTM,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_C_containment_FitVid_results.csv,FitVid_NVAE encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,,,NA,all,all,same
containment,1.0112411208937724,0.008621804290331991,0.766987951807229,0.775609756097561,GNS-ransac,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,all,1,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_all_readout_B_containment_GNS-ransac_results.csv,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all,same
containment,0.6678007402128686,-0.2547928298560095,0.766987951807229,0.5121951219512195,GNS-ransac,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,containment,1,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_containment_readout_B_containment_GNS-ransac_results.csv,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,same,same
containment,0.9921610997448334,-0.006012342051131436,0.766987951807229,0.7609756097560976,GNS-ransac,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,no_containment,1,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_no_containment_readout_B_containment_GNS-ransac_results.csv,GNS-ransac_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all_but_this,same
containment,0.8268009164540278,-0.13284161034381436,0.766987951807229,0.6341463414634146,GNS,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,all,1,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_all_readout_B_containment_GNS_results.csv,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all,same
containment,0.8077208953050886,-0.1474757566852778,0.766987951807229,0.6195121951219512,GNS,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,containment,1,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_containment_readout_B_containment_GNS_results.csv,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,same,same
containment,0.9158410151490769,-0.06454892741698515,0.766987951807229,0.7024390243902439,GNS,containment,B,,graph-networks,,,,,,,L2 on particle 3D positions,no_containment,1,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_no_containment_readout_B_containment_GNS_results.csv,GNS_nan_nan_nan_nan_L2 on particle 3D positions_1_same,Neither,Neither,,,NA,,all_but_this,same
containment,0.6487207190639295,-0.2694269761974729,0.766987951807229,0.4975609756097561,OP3,containment,A,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_A_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all,all,same
containment,0.6487207190639295,-0.2694269761974729,0.766987951807229,0.4975609756097561,OP3,containment,B,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_B_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all,all,same
containment,0.6614407331632223,-0.2596708786364973,0.766987951807229,0.5073170731707317,OP3,containment,C,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,all,0.0,Image Reconstruction,all,0,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_all_readout_C_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all,all,same
containment,0.6868807613618078,-0.24015868351454606,0.766987951807229,0.526829268292683,OP3,containment,A,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,containment,0.0,Image Reconstruction,containment,0,OP3_OP3 encoder_0.0_Image Reconstruction_containment_Image Reconstruction_0_containment_readout_A_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_same_Image Reconstruction_0_same,Neither,Neither,True,False,NA,same,same,same
containment,0.6169206838156976,-0.29381722009991196,0.766987951807229,0.47317073170731705,OP3,containment,B,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,containment,0.0,Image Reconstruction,containment,0,OP3_OP3 encoder_0.0_Image Reconstruction_containment_Image Reconstruction_0_containment_readout_B_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_same_Image Reconstruction_0_same,Neither,Neither,True,False,NA,same,same,same
containment,0.6360007049646368,-0.27918307375844853,0.766987951807229,0.4878048780487805,OP3,containment,C,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,containment,0.0,Image Reconstruction,containment,0,OP3_OP3 encoder_0.0_Image Reconstruction_containment_Image Reconstruction_0_containment_readout_C_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_same_Image Reconstruction_0_same,Neither,Neither,True,False,NA,same,same,same
containment,0.6678007402128686,-0.2547928298560095,0.766987951807229,0.5121951219512195,OP3,containment,A,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,no_containment,0.0,Image Reconstruction,no_containment,0,OP3_OP3 encoder_0.0_Image Reconstruction_no_containment_Image Reconstruction_0_no_containment_readout_A_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_but_this_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
containment,0.6614407331632223,-0.2596708786364973,0.766987951807229,0.5073170731707317,OP3,containment,B,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,no_containment,0.0,Image Reconstruction,no_containment,0,OP3_OP3 encoder_0.0_Image Reconstruction_no_containment_Image Reconstruction_0_no_containment_readout_B_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_but_this_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
containment,0.6296406979149903,-0.28406112253893634,0.766987951807229,0.48292682926829267,OP3,containment,C,OP3 encoder,OP3 dynamics,,,,Image Reconstruction,no_containment,0.0,Image Reconstruction,no_containment,0,OP3_OP3 encoder_0.0_Image Reconstruction_no_containment_Image Reconstruction_0_no_containment_readout_C_containment_OP3_results.csv,OP3_OP3 encoder_0.0_Image Reconstruction_all_but_this_Image Reconstruction_0_same,Neither,Neither,True,False,NA,all_but_this,all_but_this,same
containment,0.7094213745818778,-0.22287030474840552,0.766987951807229,0.5441176470588235,RPIN,containment,A,R-CNN,Interaction Network,,,,L2 on 2D position,all,0.0,L2 on 2D position,all,0,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_all_readout_A_containment_per_example_rpin.csv,RPIN_R-CNN_0.0_L2 on 2D position_all_L2 on 2D position_0_same,Neither,Neither,,True,NA,all,all,same
